;Frame time
154;1700059114.3732545
155;1700059114.4051788
156;1700059114.4360616
157;1700059114.4663196
158;1700059114.4982796
159;1700059114.5301554
160;1700059114.5620658
161;1700059114.6099372
162;1700059114.641852
163;1700059114.6727703
164;1700059114.7206528
165;1700059114.7525914
166;1700059114.7994707
167;1700059114.8313477
168;1700059114.8792298
169;1700059114.911139
170;1700059114.943058
171;1700059114.9749646
172;1700059115.0228388
173;1700059115.0547595
174;1700059115.0867095
175;1700059115.1185896
176;1700059115.1654575
177;1700059115.1973712
178;1700059115.2292883
179;1700059115.2612107
180;1700059115.2931166
181;1700059115.3250685
182;1700059115.356946
183;1700059115.3868685
184;1700059115.4187803
185;1700059115.4506958
186;1700059115.4826117
187;1700059115.5145266
188;1700059115.546443
189;1700059115.578367
190;1700059115.6102705
191;1700059115.6421857
192;1700059115.6741016
193;1700059115.706059
194;1700059115.7369745
195;1700059115.7688487
196;1700059115.799803
197;1700059115.830684
198;1700059115.8626413
199;1700059115.8945482
200;1700059115.926463
201;1700059115.9583447
202;1700059115.9902577
203;1700059116.0211778
204;1700059116.0531363
205;1700059116.0850408
206;1700059116.1169362
207;1700059116.1488717
208;1700059116.180752
209;1700059116.212673
210;1700059116.2445939
211;1700059116.2764962
212;1700059116.3084133
213;1700059116.3562949
214;1700059116.4031599
215;1700059116.4510334
216;1700059116.4979074
217;1700059116.5288315
218;1700059116.5607407
219;1700059116.592654
220;1700059116.6245673
221;1700059116.6564825
222;1700059116.6874008
223;1700059116.719317
224;1700059116.7512317
225;1700059116.7821548
226;1700059116.8131151
227;1700059116.8450136
228;1700059116.8759065
229;1700059116.9078145
230;1700059116.9392464
231;1700059116.9711607
232;1700059117.0020788
233;1700059117.0330522
234;1700059117.064939
235;1700059117.0968597
236;1700059117.127741
237;1700059117.1596596
238;1700059117.191574
239;1700059117.2224908
240;1700059117.254406
241;1700059117.2863235
242;1700059117.318348
243;1700059117.3502605
244;1700059117.3821747
245;1700059117.4131393
246;1700059117.4440114
247;1700059117.4759517
248;1700059117.5068781
249;1700059117.5387743
250;1700059117.5706756
251;1700059117.6025891
252;1700059117.63415
253;1700059117.6650538
254;1700059117.6962612
255;1700059117.7272139
256;1700059117.7581072
257;1700059117.7890408
258;1700059117.8209355
